Denver East
12/21,4:00p,Legend ,Game Details: Cherry Creek Holiday Classic,(L) 66 - 58
12/22,2:30p,Pine Creek ,,(W) 53 - 37
12/23,10:00a,Fountain-Fort Carson ,Game Details: Tournament @ Cherry Creek H.S.,(W) 63 - 53
1/5,7:00p,Mountain Range ,Location: Broomfield High School,(W) 43 - 37
1/6,2:00p,Brighton ,Location: Brighton High School,(W) 56 - 46
1/9,6:30p,Poudre ,Location: Poudre High School,(L) 66 - 64
1/12,6:30p,Greeley West ,Location: Greeley West High School,(W) 72 - 51
1/17,7:00p,Rangeview ,Location: Rangeview High School,(L) 69 - 50
1/19,6:30p,Fairview ,Location: Broomfield High School,(L) 74 - 72 (OT)
1/23,6:30p,Fossil Ridge ,"Game Details: Broomfield High School, Eagle Gym",(L) 55 - 49
1/26,6:30p,Monarch ,Location: Monarch High School,(W) 74 - 62
1/30,6:30p,Loveland ,Location: Broomfield High School,(W) 91 - 70
2/2,6:30p,Fort Collins ,Location: Broomfield High School,(W) 82 - 56
2/6,6:30p,Legacy ,Location: Legacy High School,(W) 75 - 66
2/9,6:30p,Rocky Mountain ,Location: Rocky Mountain High School,(W) 66 - 55
2/13,6:30p,Horizon ,Location: Broomfield High School,
2/15,6:30p,Boulder ,Location: Boulder High School,

Holy Family
date,time,oponent,location,score
11/30,7:00p,Golden ,Game Details: D'Evelyn/Golden Preview Classic,(L) 51 - 44
12/1,7:00p,D'Evelyn ,Game Details: D'Evelyn/Golden Preview Classic,(W) 64 - 61
12/2,2:30p,Pueblo Central ,Game Details: D'Evelyn/Golden Preview Classic,(W) 71 - 42
12/5,7:00p,Niwot ,Location: Holy Family High School,(W) 65 - 28
12/12,7:00p,Sierra ,Location: Holy Family High School,(W) 54 - 47
12/16,6:00p,Broomfield ,Location: Broomfield High School,(L) 72 - 45
12/21,7:00p,Pueblo South ,Location: Pueblo South High School,(L) 67 - 63
12/22,1:00p,Pueblo West ,Location: Pueblo West High School,(L) 67 - 51
1/3,7:00p,Skyline ,Location: Holy Family High School,(W) 66 - 37
1/5,7:00p,Frederick ,Location: Frederick High School,(W) 55 - 47
1/9,7:00p,Berthoud ,Location: Holy Family High School,(W) 78 - 55
1/12,6:30p,Windsor ,Location: Windsor High School,(L) 74 - 61
1/13,1:00p,Denver South ,Game Details: C-Team 10am JV 11:30am,(L) 46 - 44
1/16,7:00p,Erie ,Location: Erie High School,(W) 63 - 58
1/19,7:00p,Mead ,Location: Holy Family High School,(W) 57 - 49
1/23,7:00p,Roosevelt ,Location: Roosevelt High School,(L) 61 - 57
1/26,7:00p,Skyline ,Location: Skyline High School,(W) 57 - 28
1/30,7:00p,Frederick ,Location: Holy Family High School,(W) 46 - 32
2/2,7:00p,Berthoud ,Location: Berthoud High School,(W) 61 - 54
2/6,7:00p,Windsor ,Location: Holy Family High School,(L) 62 - 61
2/9,7:00p,Erie ,Location: Holy Family High School,(W) 81 - 44
2/13,7:00p,Mead ,Location: Mead High School,
2/16,7:00p,Roosevelt ,Location: Holy Family High School,

George Washington
date,time,oponent,location,score
11/29,4:30p,Rampart ,Game Details: RC / MV Tournment Rock Canyon High School,(W) 70 - 61
12/1,7:30p,Rock Canyon ,Game Details: @ Rock Canyon HS,(L) 75 - 50
12/2,12:30p,Arapahoe ,,(W) 59 - 40
12/5,7:00p,Poudre ,Game Details: Poudre High School,(W) 86 - 39
12/8,7:00p,Overland ,Location: Overland High School,(W) 58 - 56
12/13,7:00p,Smoky Hill ,Location: Smoky Hill High School,(L) 61 - 52
12/16,2:30p,Hinkley ,Location: Hinkley High School,(W) 75 - 17
12/20,6:00p,Chino Hills ,Game Details: Las Vegas Tarkanian Classic,(L) 66 - 64
12/21,12:30p,Bingham ,"Game Details: Tarkanian Classic Las Vegas, NV",(W) 59 - 54
12/22,2:50p,Pasadena ,Game Details: Tarkanian Classic *Consolation Semifinal,(L) 67 - 55
12/23,2:20p,Overland ,"Game Details: Tarkanian Classic Las Vegas, NV",(W) 90 - 79
1/5,7:00p,ThunderRidge ,"Game Details: THUNDERRIDGE, Main Gym",(L) 52 - 48
1/8,7:00p,Chaparral ,Location: Chaparral High School,(W) 76 - 60
1/9,7:00p,Regis Jesuit ,Location: Regis Jesuit High School,(W) 79 - 69
1/13,1:30p,Rangeview ,Location: Rangeview High School,(W) 70 - 58
1/16,5:30p,Far Northeast Warriors ,,(W) 76 - 64
1/24,7:00p,Lincoln ,Location: George Washington High School,(W) 95 - 70
1/26,5:30p,Denver South ,Location: George Washington High School,(W) 82 - 46
1/30,7:00p,Kennedy ,Location: Kennedy High School,(W) 100 - 51
2/5,7:00p,Thomas Jefferson ,Location: Thomas Jefferson High School,(W) 81 - 43
2/9,5:30p,Denver West ,Location: Denver West High School,(W) 92 - 20
2/12,7:00p,Denver North ,Location: Denver North High School,
2/17,1:00p,Denver East ,Game Details: Thunderdome,

Rock Canyon
date,time,oponent,location,score
11/29,7:30p,Liberty ,Game Details: Rock Canyon HS Tournament,(W) 68 - 56
12/1,7:30p,George Washington ,Game Details: @ Rock Canyon HS,(W) 75 - 50
12/2,3:30p,Mountain Vista ,,(W) 71 - 52
12/5,7:00p,Eaglecrest ,Location: Eaglecrest High School,(W) 59 - 53
12/7,7:00p,Overland ,Location: Overland High School,(W) 62 - 56
12/13,8:00p,Oxnard ,Game Details: Pacifica Clash on the Coast,(W) 53 - 48
12/14,8:00p,Pacifica ,Game Details: 15th Annual Clash on the Coast Tournament,(W) 87 - 29
12/15,6:30p,Buchanan ,Game Details: 15th Annual Clash on the Coast Tournament,(W) 60 - 42
12/16,1:00p,Westlake ,Game Details: Championship Game - 15th Annual Clash on the Coast,(W) 70 - 42
1/3,7:00p,Mountain Range ,Location: Rock Canyon High School,(W) 61 - 41
1/5,5:30p,Rangeview ,Location: Rangeview High School,(W) 74 - 44
1/8,7:00p,Columbine ,Location: Rock Canyon High School,(W) 75 - 26
1/13,2:00p,Dakota Ridge ,Location: Rock Canyon High School,(W) 61 - 42
1/16,7:00p,Regis Jesuit ,Location: Regis Jesuit High School,(W) 55 - 50
1/18,7:00p,Ponderosa ,Location: Rock Canyon High School,(W) 74 - 53
1/23,6:00p,Heritage ,Location: Heritage High School,(W) 66 - 31
1/27,2:00p,Mountain Vista ,Location: Rock Canyon High School,(W) 68 - 52
1/30,7:00p,Douglas County ,Location: Rock Canyon High School,(W) 72 - 50
2/2,7:00p,Chaparral ,Location: Chaparral High School,(L) 73 - 57
2/6,7:00p,Legend ,Location: Legend High School,(W) 59 - 51 (OT)
2/9,7:00p,Highlands Ranch ,Location: Rock Canyon High School,(W) 56 - 38
2/14,7:00p,Castle View ,Game Details: Rock Canyon High School,
2/16,7:00p,ThunderRidge ,Location: ThunderRidge High School,

Smoky Hill
date,time,oponent,location,score
11/29,7:00p,Brighton ,Location: Brighton High School,(FFL) 70 - 38
12/1,7:00p,Hinkley ,Location: Smoky Hill High School,(W) 71 - 23
12/7,6:15p,Timpview ,"Game Details: Great Western Shootout-Orem, UT",(W) 64 - 58
12/8,7:30p,Wasatch Academy ,"Game Details: Vivant ShootOut@ Orem HS, UT",(L) 72 - 50
12/9,2:30p,Timpanogos ,,(W) 58 - 44
12/13,7:00p,George Washington ,Location: Smoky Hill High School,(W) 61 - 52
12/19,6:30p,Rocky Mountain ,Location: Rocky Mountain High School,(W) 74 - 52
12/21,7:00p,Rangeview ,Location: Rangeview High School,(W) 69 - 57
12/22,7:00p,Vista PEAK Prep ,Location: Smoky Hill High School,(W) 83 - 56
1/4,7:00p,Grandview ,Game Details: Grandview,(L) 65 - 55
1/6,2:00p,Cherokee Trail ,Location: Smoky Hill High School,(L) 55 - 53 (OT)
1/10,7:00p,Overland ,Location: Overland High School,(L) 77 - 72
1/12,7:00p,Mullen ,Location: Mullen High School,(W) 67 - 57
1/17,7:00p,Arapahoe ,Location: Smoky Hill High School,(W) 66 - 48
1/19,7:00p,Eaglecrest ,Game Details: SMOKY HILL,(L) 50 - 49
1/24,7:00p,Cherry Creek ,Location: Smoky Hill High School,(W) 62 - 44
1/26,7:00a,Grandview ,Game Details: Smoky Hill,(W) 67 - 55
1/31,7:00p,Cherokee Trail ,Location: Cherokee Trail High School,(W) 72 - 41
2/3,7:00p,Overland ,Location: Smoky Hill High School,(W) 73 - 57
2/7,7:00p,Mullen ,Location: Smoky Hill High School,(W) 61 - 42
2/9,7:00p,Arapahoe ,Location: Arapahoe High School,(W) 71 - 47
2/14,7:00p,Eaglecrest ,Game Details: EAGLECREST,
2/16,7:00p,Cherry Creek ,Location: Cherry Creek High School,

